t,phy,det,v,stat
-0.00817,-1.0839564034118779e-06,-2.2464605461758655e-06,,
-0.008165,3.71171987067872e-06,0.00011516143057272991,,
-0.00816,3.8076153685521245e-06,7.948075548336087e-06,,
-0.008155,-1.133937976704949e-05,-6.484187501924934e-07,,
-0.008150000000000001,-4.8617860019950334e-06,-0.00013747564533798834,,
-0.008145,-3.4852844893366772e-06,-5.95145846017077e-06,,
-0.00814,1.8177297661104355e-06,3.6000529895944114e-06,,
-0.008135,4.706392455196528e-06,0.0001455538710642338,,
-0.00813,1.958070132842798e-06,3.534324834358836e-06,,
-0.008125,-2.8306594316227574e-06,-6.2763322450200555e-06,,
-0.00812,-3.863769340669995e-06,-0.00013944095742020237,,
-0.008115,-4.053259001312919e-07,-1.018257348683259e-06,,
-0.008110000000000001,2.049902562456015e-06,8.393731542469182e-06,,
-0.008105000000000001,-5.442989988250151e-06,0.00012062207390244346,,
-0.0081,-1.2364928203987108e-06,-1.3073037970672124e-06,,
-0.008095,-6.212300034524639e-06,-9.747744571352499e-06,,
-0.00809,-3.5738944877614612e-06,-9.168396380508878e-05,,
-0.008085,2.1755665268270386e-06,3.216603959700632e-06,,
-0.00808,4.539844520543217e-06,1.0229548640229656e-05,,
-0.008075,1.5673277869494735e-06,5.5907478117291674e-05,,
-0.00807,-2.3881210020213526e-06,-4.565694015571097e-06,,
-0.008065,-2.4885957306706665e-06,-9.828752686637618e-06,,
-0.00806,1.8396481536837993e-08,-1.6850174730910177e-05,,
-0.008055,-4.320896034456162e-06,5.297166343670226e-06,,
-0.00805,1.7347353589879976e-05,8.624040952699012e-06,,
-0.008045,-1.2214536376347027e-06,-2.203273249677686e-05,,
-0.00804,-6.1451042765941975e-06,-5.433362904300066e-06,,
-0.008035,-3.4793135626002433e-06,-6.764800278544148e-06,,
-0.00803,1.8834653290238772e-06,5.769495516786075e-05,,
-0.008025000000000001,3.802449720229524e-06,5.061068357444667e-06,,
-0.00802,1.2415023508169677e-06,4.447424234744459e-06,,
-0.008015000000000001,-1.2774566290791982e-06,-8.771435902252363e-05,,
-0.00801,-4.33477388721151e-08,-4.311196137201465e-06,,
-0.008005,1.169340814567413e-06,-1.8899778125677392e-06,,
-0.008,0.0001108943883430882,0.00011041200134600274,,
-0.007995,1.0335457828035215e-05,3.336887050407535e-06,,
-0.00799,-4.5669207436861397e-07,-6.916112535708294e-07,,
-0.007985,-5.288220847043245e-06,-0.00012488158649699184,,
-0.007980000000000001,-3.2826216774052895e-06,-2.292935321493542e-06,,
-0.007975,1.1260275573733215e-06,3.1034517690816598e-06,,
-0.00797,2.523309787619395e-06,0.00013094404612455207,,
-0.007965,6.413840702508392e-07,1.3186703385775138e-06,,
-0.00796,2.2635918495811393e-07,-5.188232918684579e-06,,
-0.007955,4.875132826824631e-06,-0.00012904647708816364,,
-0.00795,1.4374393453610124e-05,-5.255645511523079e-07,,
-0.007945,1.2286030556533793e-05,6.833861375705778e-06,,
-0.00794,8.331429647181082e-06,0.00012012615992694661,,
-0.007935000000000001,6.580033120057827e-07,-9.981366098062982e-09,,
-0.00793,-3.851056296314159e-06,-7.976407995226489e-06,,
